,0
618,  알았어 집문제는 그럼 오빠 말대로 해 아빠한테 가 잘 얘기할께
619, 미안해 근 너 잘 알잖아 그게
620,  알았어 알았는 나 좀 섭섭해
621,어차피 이제 다 식군 그렇게 자존심 세워야겠어
622,소리>윤님
623,이제 다 끝난 건가요
624,직원네 3개월 에 구청에 접수하시면 됩니다
625,  아니라니깐 그건  혼자 생각이고
626,  하튼 지금 바쁘니까 나중에 이따가
627,  
628,근 무슨 공사
629, 
630,그랬구나 몰랐네
631,
632,기분도 그런 우리 술 마실까 술먹자 술
633,됐어 무슨 술이야
634,  오늘 나랑 놀자
635,얘가 왜 이래 안돼 나 이따가 학교 들려야 돼
636,학교
637,성적증명 떼러
638, 미국 가는 거 땜에
639,귀찮게 뭘 보라는 게 많아 에이
640,좀 봐봐 공부 얼마나 잘했나 보게
641,  됐어 무슨
642,학교 많이 변했다 새로 생긴 건물들도 많고
643,
644,근 왜 우리 한번도 학교에서 못봤지 오다가다 만났을 법도 한
645,나 1학년 마치고 군대 갔었어
646,아 그랬구나 그래서 그랬구나
647,방송반 사람들은 가끔 봐
648,  전혀 방송반 1학년 까지만 하고 관뒀어 연락이고 고 없어
649, 이형두
650,미국은 갔다 언제와
651,모르지  몇 년이 될지 가봐야 알지
652,섭섭하겠다 그 동네에서 오래 살았잖아
653,섭섭하긴 지긋지긋하지
654, 
655,가게도 정리하신다며
656,몰라 어떻게 될지
657,그래두 걱정되겠다 혼자 아프시기라도 하면 큰일인
658,
659,나이 드신 분들은 순간이더라 니가 신경 많이 써
660,그럼 나보러 어쩌라고
661, 
662,난 그냥 걱정 돼서
663,니가 그런 걱정을 왜 해
664,왜 화를  그냥 자주 왔다 갔다 하면 되잖아 적적하지 않으시게
665,자주 왔다 갔다 하기는 가 어디 놀러가는 걸로 보이니
666,   그래 알았어 그만 하자 가 잘못했어 그만해
667,  왜 하루종일 술타령이야 뭔 일 있어
668,  꼭 뭔 일 있어야 술 먹어
669,  아니지 그냥 먹어도 돼지 그래서 술이지 암요 자 마셔
670,아깐 미안했어
671, 
672,화 났어
673,뭘 화가 나 너 찌질한 거 가 모르니
674,종업원>매운탕 나왔습니다 지금 드셔도 돼요
675,매운탕 이름 이상하지 않냐
676, 
677,알이 들어가면 알탕이고 갈비가 들어가면 갈비탕인
678,   개그야
679,나 사는 게 매운탕 같아서 안에 가 들었는지 잘 모르겠어 그냥 맵기만 해
680,  지리로 시킬 걸 그랬나
681,나 오늘 이혼했다
682, 
683,오늘 법원가서 서류 정리하고 왔어 이제 법적으로 싱글
684, 
685,근 반응이 왜 이따위야 깜짝 놀라거나 좀 그래야 되는 거 아니야
686,대강 알고 있었어
687, 
688,설계 하면서 남편 얘기 한번도 안하길래 보통은 안 그러거든
689,오 집 설계 맡기면 그런 도 뽀록 나는구나
690,얼마나 된 거야 그런지
691,한 3년 결혼하고 1년만에 갑자기 갑자기 이혼을 해달래네 그 새끼가
692,왜
693,나도 모르겠어 갑자기 그러더라고
694,
695,모르지  가 그렇게 싫던가 아니면 딴 여자가 생겼던가
696,
697,별거 하면서 3년 버티다가 오늘 들어줬지
698,왜 버텨 3년이나
699,  그럼 난  먹고 사니
700,
701,버틸수록 한푼이라도 더 받는대 이혼하면 대출도 잘 안되고
702,
703,버틴 덕에 집도 짓고 세금까지 싹 다 잘 챙겼어  괜찮아 
